,close,Company,Date
75230,44.650002,VRTX,2013-01-30
75231,44.779999,VRTX,2013-01-31
75232,45.439999,VRTX,2013-02-01
75233,44.630001,VRTX,2013-02-04
75234,45.599998,VRTX,2013-02-05
75235,45.860001,VRTX,2013-02-06
75236,45.650002,VRTX,2013-02-07
75237,46.0,VRTX,2013-02-08
75238,45.700001,VRTX,2013-02-11
75239,45.889999,VRTX,2013-02-12
75240,46.48,VRTX,2013-02-13
75241,45.66,VRTX,2013-02-14
75242,45.610001,VRTX,2013-02-15
75243,46.52,VRTX,2013-02-19
75244,45.439999,VRTX,2013-02-20
75245,44.82,VRTX,2013-02-21
75246,45.91,VRTX,2013-02-22
75247,44.860001,VRTX,2013-02-25
75248,44.18,VRTX,2013-02-26
75249,46.970001,VRTX,2013-02-27
75250,46.82,VRTX,2013-02-28
75251,46.169998,VRTX,2013-03-01
75252,46.310001,VRTX,2013-03-04
75253,48.330002,VRTX,2013-03-05
75254,49.509998,VRTX,2013-03-06
75255,50.169998,VRTX,2013-03-07
75256,52.810001,VRTX,2013-03-08
75257,52.549999,VRTX,2013-03-11
75258,52.41,VRTX,2013-03-12
75259,52.77,VRTX,2013-03-13
75260,52.790001,VRTX,2013-03-14
75261,52.310001,VRTX,2013-03-15
75262,51.369999,VRTX,2013-03-18
75263,51.900002,VRTX,2013-03-19
75264,52.48,VRTX,2013-03-20
75265,52.240002,VRTX,2013-03-21
75266,53.740002,VRTX,2013-03-22
75267,54.259998,VRTX,2013-03-25
75268,54.34,VRTX,2013-03-26
75269,54.830002,VRTX,2013-03-27
75270,54.970001,VRTX,2013-03-28
75271,73.830002,VRTX,2014-01-02
75272,73.449997,VRTX,2014-01-03
75273,75.5,VRTX,2014-01-06
75274,74.489998,VRTX,2014-01-07
75275,75.230003,VRTX,2014-01-08
75276,76.32,VRTX,2014-01-09
75277,78.209999,VRTX,2014-01-10
75278,77.040001,VRTX,2014-01-13
75279,79.379997,VRTX,2014-01-14
75280,78.769997,VRTX,2014-01-15
75281,81.0,VRTX,2014-01-16
75282,82.089996,VRTX,2014-01-17
75283,85.480003,VRTX,2014-01-21
75284,84.120003,VRTX,2014-01-22
75285,83.830002,VRTX,2014-01-23
75286,79.769997,VRTX,2014-01-24
75287,79.370003,VRTX,2014-01-27
75288,79.300003,VRTX,2014-01-28
75289,78.82,VRTX,2014-01-29
75290,82.150002,VRTX,2014-01-30
75291,79.040001,VRTX,2014-01-31
75292,77.629997,VRTX,2014-02-03
75293,79.150002,VRTX,2014-02-04
75294,77.410004,VRTX,2014-02-05
